asin,avg_rating,num_reviews,price,title_y,features,os,color
B00F28K0X2,4.0,2,,"FusionTech Worktop 17R 7720 3D Special Edition Laptop i17Rse-2436ALU Aluminum - 17.3"" 3D Full HD 1080p LED Display with Truelife/i7-3630QM/8.0GB DDR3/2TB HDD+32GB SSD/Nvidia GeForce GT 650M 2GB/Blu-ray Disc (BD) Combo/HD WebCam/Backlid keyboard/Windows 8 Home Premium 64-bit","[17.3"" 3D Full High Definition (1080p) LED Display with Truelife, 3rd Generation Intel Core i7-3630QM (6MB cache, up to 3.4Ghz), 8GB Dual Channel DDR3 SDRAM at 1600MHz, 2TB 5400RPM SATA HDD + 32GB mSATA SSD w/ Intel Smart Response, Blu-ray Disc (BD) Combo (Reads BD and Writes to DVD/CD), NVIDIA GeForce GT 650M GDDR5 2GB, 6 cell battery, 1MP HD Webcam]",Windows 8,
B00IDCDH34,1.0,1,,"Advance 17 17‐Inch Gaming Laptop, 4th Gen Intel Core i7-4700MQ UP to 3.4GHz, 16GB Memory, 1TB HDD, 2GB NVIDIA GTX 765 Graphics, Windows 8",[],,
B00ISEOYL6,5.0,1,,"FusionTech ABC 14 14"" Ultrabook High Performance Gaming Laptop FusionTech ABC 14 Ultrabook Intel Core i7 8GB DDR3 512GB SSD 1GB NVIDIA GeForce GT 630M Backlit Keyboar (Windows 7)",[Very good and clean],Windows 7,
B00K5AQQGW,2.6666666666666665,6,,"FusionTech Worktop 15 7000 Series 7537 15.6"" FHD 1920 x 1080 Touchscreen Laptop 4th Generation Intel Core i7-4510U Processor, 16GB DDR3 Memory, 1TB HDD + 8GB SSD, NVIDIA GeForce GT750M 2GB GDDR5 Graphics, Backlit Keyboard, Windows 8.1","[4th Generation Intel Core i7-4510U processor (4M Cache, up to 3.1 GHz), 1TB 5400 rpm SATA Hybrid Hard Drive with 8GB Cache 16GB 2 DIMM (2x8GB) DDR3L 1600Mhz, 15.6 inch LED Backlit Touch Display with Truelife and FHD resolution (1920 x 1080), NVIDIA GeForce GT 750M 2GB GDDR5, Intel 7260BGN + BT4.0 [Intel Wireless-N 7260 BGN + Bluetooth 4.0]]",Windows 8.1,Silver
B00KE7YX1Q,3.6666666666666665,3,,"FusionTech Advance 18.4"" Laptop ALW18-34490sLV (Intel Core i7-4940MX 3.2GHz, 32GB RAM, 4x256GB SSD's, Dual NVIDIA GTX 880M, Windows 7 Home Premium)","[Intel Core i7-4940MX processor (Quad Core, 8MB Cache, Overclocked up to 4.4GHz), 32GB (Dual Channel DDR3L at 1600MHz), 1TB (4x256GB SSD's), Dual NVIDIA GeForce GTX 880M graphics with 16GB total (2x 8GB) GDDR5 - NVIDIA SLI Enabled, 18.4"" WLED FHD (1920 x 1080) TrueLife Display]",Windows 7 Home Premium,
B00LHJR542,4.095238095238095,21,,"FusionTech Worktop 17R 7000 17.3-Inch Touchscreen Gaming Laptop (Intel i7-5500U 2.4GHz Processor, 16GB DDR3 Memory, 1TB Hybrid Hard Drive, 2GB Nvidia GT845M Graphics Window 8.1) Silver",[],Windows 8,
B00SIJG8PQ,3.6875,32,649.99,"Advance 13 ANW13-8636SLV - 13.3"" Touchscreen Gaming Laptop - Intel Core i7 Broadwell / 16GB RAM / 512GB SSD / NVIDIA GeForce GTX 860M / Windows 8.1 / Wi-Fi / Webcam [Discontinued By Manufacturer]","[Intel Core i7-5500U (Broadwell) 2.40 GHz with Turbo Boost Technology up to 3.00 GHz, 16GB DDR3L 1600 MHz RAM - 512GB SSD, 13.3Inch QHD+ IPS-Panel TrueLife (3200 x 1800), NVIDIA GeForce GTX 860M graphics with 2GB dedicated memory, Windows 8.1]",Windows 8,
B00XQXZCHO,4.0,1,,"FusionTech ABC 15 UHD 15.6-Inch Touchscreen Laptop (Intel Core i7 4712HQ, 16 GB RAM, 1 TB HDD + 32 GB SSD, Silver) NVIDIA GeForce GT 750M 2GB GDDR5","[Intel Core i7 4712HQ 2.3 GHz Processor, 16 GB DDR3L SDRAM; NVIDIA GeForce GT 750M 2GB GDDR5, 1 TB HDD + 32 GB SSD Storage; No Optical Drive, 15.6 Inch UHD (3840x2160) LED-lit Truelife Touchscreen, Windows 8.1 Operating System; Silver Chassis]",Windows 8,
B015P3SHWO,3.1176470588235294,17,,"Advance AW13R2-8344SLV 13-Inch QHD+ Touchscreen Laptop (6th Generation Intel Core i7, 16 GB RAM, 256 GB SSD, NVIDIA GeForce GTX 960M,Windows 10 Home), Silver","[Intel Dual Core i7 6500U 2.5 GigaHertz Processor, 16 GB DDR3L SD RAM, 256 GB SSD Storage; Optical Drive Not included, 13 Inch WQXGA+ (3200 x 1800 pixels) LED lit True life Touchscreen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015P3SJD6,3.721311475409836,61,1299.99,"Advance AW17R3-4175SLV 17.3-Inch FHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD,NVIDIA GeForce GTX 970M, Windows 10 Home), Silver)","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4. GTX 970M NO G-SYNC, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 17.3 Inch FHD (1920 x 1080 pixels) LED-lit Truelife Screen, Windows 10 Home Operating System; Epic Silver Chassis. Please Note: Kindly refer the User Guide for the troubleshooting steps.]",Windows 10,Epic Silver
B015P3SN32,3.090909090909091,66,,"Advance AW15R2-8469SLV 15.6-Inch UHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD) NVIDIA GeForce GTX 970M, Microsoft Signature Edition, Windows 10 Home), Silver","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4 GTX 970M, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 15.6 Inch UHD (3840 x 2160 pixels) LED-lit Screen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015P3SNN2,3.942857142857143,35,,"Advance AW15R2-8469SLV 15.6-Inch UHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD) NVIDIA GeForce GTX 970M, Microsoft Signature Edition, Windows 10 Home), Silver","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4 GTX 970M, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 15.6 Inch UHD (3840 x 2160 pixels) LED-lit Screen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015P3SO22,3.8947368421052633,19,1299.99,"Advance AW17R3-4175SLV 17.3-Inch FHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD,NVIDIA GeForce GTX 970M, Windows 10 Home), Silver)","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4. GTX 970M NO G-SYNC, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 17.3 Inch FHD (1920 x 1080 pixels) LED-lit Truelife Screen, Windows 10 Home Operating System; Epic Silver Chassis. Please Note: Kindly refer the User Guide for the troubleshooting steps.]",Windows 10,Epic Silver
B015P3SO72,3.25,8,,"Advance AW13R2-8344SLV 13-Inch QHD+ Touchscreen Laptop (6th Generation Intel Core i7, 16 GB RAM, 256 GB SSD, NVIDIA GeForce GTX 960M,Windows 10 Home), Silver","[Intel Dual Core i7 6500U 2.5 GigaHertz Processor, 16 GB DDR3L SD RAM, 256 GB SSD Storage; Optical Drive Not included, 13 Inch WQXGA+ (3200 x 1800 pixels) LED lit True life Touchscreen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015P3SSD2,3.891304347826087,46,1299.99,"Advance AW17R3-4175SLV 17.3-Inch FHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD,NVIDIA GeForce GTX 970M, Windows 10 Home), Silver)","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4. GTX 970M NO G-SYNC, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 17.3 Inch FHD (1920 x 1080 pixels) LED-lit Truelife Screen, Windows 10 Home Operating System; Epic Silver Chassis. Please Note: Kindly refer the User Guide for the troubleshooting steps.]",Windows 10,Epic Silver
B015PYYCEK,3.0,45,1299.99,"Advance AW17R3-4175SLV 17.3-Inch FHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD,NVIDIA GeForce GTX 970M, Windows 10 Home), Silver)","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4. GTX 970M NO G-SYNC, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 17.3 Inch FHD (1920 x 1080 pixels) LED-lit Truelife Screen, Windows 10 Home Operating System; Epic Silver Chassis. Please Note: Kindly refer the User Guide for the troubleshooting steps.]",Windows 10,Epic Silver
B015PYYDMQ,3.9804318488529016,1482,769.0,"FusionTech 15.6-Inch Gaming Laptop (6th Gen Intel Quad-Core i5-6300HQ Processor up to 3.2GHz, 8GB DDR3, 256GB SSD, Nvidia GeForce GTX 960M, Windows 10)","[Intel i5-6300HQ 2.3 GHz Quad-Core (6M Cache, Turbo up to 3.2 GHz), NVIDIA GeForce GTX 960M 4GB GDDR5, 8 GB DDR3L / 256 GB Solid-State Drive, 15.6-Inch FHD IPS, Wide-Angle, Anti Glare Screen., Windows 10 Home]",Windows 10 Home,Black
B015PYZ186,3.75,36,,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition","[15.6 Inch UHD (3840 x 2160 pixels) 4k LED-lit Truelife Touchscreen, Windows 10 Operating System; Matte Black featuring Gray Chassis, 8 GB DDR3L SDRAM, Max Support 16GB, 1 TB HDD,Optical Drive Not included, Intel Quad Core i7-6700HQ 2.6 GHz Processor (4 Core 8 Threads , 6M Cache, up to 3.50 GHz)]",Windows 10,Matte Black featuring Gray
B015PYZI8E,3.8833333333333333,120,,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition","[15.6 Inch UHD (3840 x 2160 pixels) 4k LED-lit Truelife Touchscreen, Windows 10 Operating System; Matte Black featuring Gray Chassis, 8 GB DDR3L SDRAM, Max Support 16GB, 1 TB HDD,Optical Drive Not included, Intel Quad Core i7-6700HQ 2.6 GHz Processor (4 Core 8 Threads , 6M Cache, up to 3.50 GHz)]",Windows 10,Matte Black featuring Gray
B015PYZK4Q,4.166666666666667,12,,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition","[15.6 Inch UHD (3840 x 2160 pixels) 4k LED-lit Truelife Touchscreen, Windows 10 Operating System; Matte Black featuring Gray Chassis, 8 GB DDR3L SDRAM, Max Support 16GB, 1 TB HDD,Optical Drive Not included, Intel Quad Core i7-6700HQ 2.6 GHz Processor (4 Core 8 Threads , 6M Cache, up to 3.50 GHz)]",Windows 10,Matte Black featuring Gray
B015PYZWC6,2.85,20,,"Advance AW15R2-8469SLV 15.6-Inch UHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD) NVIDIA GeForce GTX 970M, Microsoft Signature Edition, Windows 10 Home), Silver","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4 GTX 970M, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 15.6 Inch UHD (3840 x 2160 pixels) LED-lit Screen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015PYZX0C,3.1538461538461537,13,,"Advance AW13R2-8344SLV 13-Inch QHD+ Touchscreen Laptop (6th Generation Intel Core i7, 16 GB RAM, 256 GB SSD, NVIDIA GeForce GTX 960M,Windows 10 Home), Silver","[Intel Dual Core i7 6500U 2.5 GigaHertz Processor, 16 GB DDR3L SD RAM, 256 GB SSD Storage; Optical Drive Not included, 13 Inch WQXGA+ (3200 x 1800 pixels) LED lit True life Touchscreen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015PZ0CSE,3.590909090909091,22,,"Advance AW13R2-8344SLV 13-Inch QHD+ Touchscreen Laptop (6th Generation Intel Core i7, 16 GB RAM, 256 GB SSD, NVIDIA GeForce GTX 960M,Windows 10 Home), Silver","[Intel Dual Core i7 6500U 2.5 GigaHertz Processor, 16 GB DDR3L SD RAM, 256 GB SSD Storage; Optical Drive Not included, 13 Inch WQXGA+ (3200 x 1800 pixels) LED lit True life Touchscreen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B015PZ0EHS,3.6206896551724137,145,,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition","[15.6 Inch UHD (3840 x 2160 pixels) 4k LED-lit Truelife Touchscreen, Windows 10 Operating System; Matte Black featuring Gray Chassis, 8 GB DDR3L SDRAM, Max Support 16GB, 1 TB HDD,Optical Drive Not included, Intel Quad Core i7-6700HQ 2.6 GHz Processor (4 Core 8 Threads , 6M Cache, up to 3.50 GHz)]",Windows 10,Matte Black featuring Gray
B0163JM0BI,5.0,1,,"FusionTech Sharp M4800 Mobile Workstation, Intel Core i7-4800MQ 2.7GHz, 256GB SSD, 8GB DDR3, NVIDIA Quadro K1100M 2GB, 802.11ac, Bluetooth, Win8Pro, 15.6""","[Get reliable performance from the Intel Core i7-4800MQ Quad-Core 2.7GHz processor^15.6"" Ultra Sharp Full-HD LED-backlit display with 1920 x 1080 resolution showcases movies and games in stunning clarity^8GB DDR3 memory - For multitasking power; supports up to 32GB^SATA 256GB solid state drive for an amazingly smooth and fast computing experience^USB 3.0 has transmission speeds of up to 5 Gbit/s, which is 10 times faster than USB 2.0Enhanced viewing with the discrete NVIDIA Quadro K1100M graphics with 2GB dedicated video memory^SuperMulti DVDRW drive - watch movies on your computer; read and write CDs and DVDs in multiple formats^Connect to a broadband modem or router with wired Ethernet, or wirelessly connect to a Wi-Fi signal or hotspot with the built-in 802.11ac wireless connection^Easily link with other Bluetooth-enabled devices, such as a mobile phone or MP3s players^Windows 8 Professional makes the things you do every day easier]",Windows 8 Pro,Black
B0171DIALE,3.375,8,1299.99,"Advance AW17R3-4175SLV 17.3-Inch FHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD,NVIDIA GeForce GTX 970M, Windows 10 Home), Silver)","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4. GTX 970M NO G-SYNC, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 17.3 Inch FHD (1920 x 1080 pixels) LED-lit Truelife Screen, Windows 10 Home Operating System; Epic Silver Chassis. Please Note: Kindly refer the User Guide for the troubleshooting steps.]",Windows 10,Epic Silver
B018FBSWZK,4.666666666666667,3,,"FusionTech Worktop 15 3000 15.6"" Non-Touch Screen Laptop - Intel Core i5 i5-5200U Upto 2.70 GHz 4GB Memory, 500G Hard Drive, NVIDIA GeForce 820M 1GB, DVD Burner, Windows 10 Home 64bit","[5th Generation Intel(R) Core(TM) i5-5200U Processor (3M Cache, up to 2.70 GHz), 4GB Single Channel DDR3L 1600MHz (4GBx1), 500GB 5400 rpm SATA Hard Drive, NVIDIA(R) GeForce(R) 820M 1GB DDR3, Tray load DVD Drive (Reads and Writes to DVD/CD)]",Windows 10 Home,Black
B018FSX3C0,3.5,2,,"FusionTech ABC 15 9550 Laptop 15.6"" 4K UHD (3840 x 2160) Touch, Intel i7-6700HQ 3.5GHz Quad Core 16GB RAM 256GB SSD NVIDIA GeForce GTX 960M w/ 2GB GDDR5 Windows 10 (Certified Refurbished)","[This Certified Refurbished product has been tested and certified to work and look like new, with minimal to no signs of wear, by a specialized third-party seller approved by Amazon. The product is backed by a minimum 90-day warranty, and may arrive in a generic brown or white box. Accessories may be generic and not directly from the manufacturer., Intel Core i7 6700HQ WITH TURBO BOOST UP TO 3.5GHz, 15.6-Inch 4K Ultra HD (3840 x 2160) InfinityEdgeTouch Display, 16GB 2133MHz DDR4, 256GB NVME SSD, NVIDIA GeForce GTX 960M with 2GB GDDR5, Bluetooth 4.1, Windows 10]",Windows 10,
B018FZHJ50,4.0,4,,"FusionTech 15.6 HD laptop, Intel i5-5200U, 4GB memory, 500GB HD, NVIDIA GeForce 820M 2GB, MaxxAudio, windows 10",[],Windows 10,
B019BLB0SY,4.333333333333333,3,769.0,"FusionTech 15.6-Inch Gaming Laptop (6th Gen Intel Quad-Core i5-6300HQ Processor up to 3.2GHz, 8GB DDR3, 256GB SSD, Nvidia GeForce GTX 960M, Windows 10)","[Intel i5-6300HQ 2.3 GHz Quad-Core (6M Cache, Turbo up to 3.2 GHz), NVIDIA GeForce GTX 960M 4GB GDDR5, 8 GB DDR3L / 256 GB Solid-State Drive, 15.6-Inch FHD IPS, Wide-Angle, Anti Glare Screen., Windows 10 Home]",Windows 10 Home,Black
B019TTJ5P8,3.6,5,,"Advance AW15R2-8469SLV 15.6-Inch UHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD) NVIDIA GeForce GTX 970M, Microsoft Signature Edition, Windows 10 Home), Silver","[Intel Quad Core i7-6700HQ 2.6 GHz Processor, 16 GB DDR4 GTX 970M, 1 TB HDD + 256 GB SATA SSD Storage; Optical Drive Not included, 15.6 Inch UHD (3840 x 2160 pixels) LED-lit Screen, Windows 10 Home Operating System; Epic Silver Chassis]",Windows 10,Epic Silver
B01AXA2BRQ,4.0,1,,"Brand FusionTech Worktop 15 3542 i3-4005U 4GB 500GB NVIDIA 820M 2GB 15.6"" Laptop Silver",[],,
B01DZ4NGU8,1.0,1,448.0,"FusionTech Sharp 5510-2700 15.6"" FHD Workstation (Intel Core i7, 8GB RAM, 256GB SSD, Windows 7 Pro) with NVIDIA Quadro M1000M Graphics","[Intel Core i7 Processor, Thinnest and lightest mobile workstation with infinity edge Display offers borderless viewing]",Windows 7 Professional,Silver
B01G4WURW8,4.8,5,709.0,"FusionTech - Worktop 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Black","[7th Gen Intel Core i5-7300HQ mobile processor :Smart quad-core processing performance. Intel Turbo Boost Technology delivers dynamic extra power when you need it, while increasing energy efficiency when you don't., 15.6"" Full HD display: The 1920 x 1080 resolution boasts impressive color and clarity. Energy-efficient LED backlight., NVIDIA GTX 1050 graphics :Driven by 4GB dedicated video memory to quickly render high-quality images for videos and games., 1TB + 8GB Hybrid Hard Drive , Windows Mixed Reality Ultra Ready Push your gaming and VR exhilaration to the limit with Windows Mixed Reality Ultra. This PC is compatible with Windows Mixed Reality headsets, FusionTech MaxxAudioTo give you great sound across music, movies, voice and games.Weighs 5.49 lbs. and measures 1"" thinBalances portability and screen size, so you get a respectable amount of viewing space without the laptop being too cumbersome for practical portability. 6-cell battery.Bluetooth 4.2 interface syncs with compatible devicesWirelessly transfer photos, music and other media between the desktop and your Bluetooth-enabled cell phone or MP3 player, or connect Bluetooth wireless]",Windows 10,Black
B01GKC5RSG,3.3636363636363638,22,,"FusionTech 2016 New Worktop 14 5000 Gaming Laptop, 14 inch Touchscreen Display, Intel Core i7-5500U 2.40 GHz with Turbo Boost, 8GB DDR3L,1TB HDD, Nvidia Geforce 920M, Backlit Keyboard with Waves MaxxAudio","[14 in HD LED touchscreen (1366 x 768), 10-finger multi-touch support, Intel Core i7-5500U 2.40 GHz with Turbo Boost Technology up to 3.00 GHz, 8GB DDR3L 1600 MHz, 1TB 5400 RPM HDD, DVD +/- RW, SD Card Reader, NVIDIA GeForce 920M with 2GB graphics memory, Intel HD Graphics 5500, 1 USB 3.0 2 USB 2.0 1 HDMI, Waves MaxxAudio, Windows 10 Home 64 bit]",Windows 10,
B01J0RJPCC,3.774193548387097,31,,"FusionTech Worktop i7559-5012GRY 15.6"" UHD (3840x2160) 4k Touchscreen Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1 TB HDD) NVIDIA GeForce GTX 960M, Microsoft Signature Edition","[15.6 Inch UHD (3840 x 2160 pixels) 4k LED-lit Truelife Touchscreen, Windows 10 Operating System; Matte Black featuring Gray Chassis, 8 GB DDR3L SDRAM, Max Support 16GB, 1 TB HDD,Optical Drive Not included, Intel Quad Core i7-6700HQ 2.6 GHz Processor (4 Core 8 Threads , 6M Cache, up to 3.50 GHz)]",Windows 10,Matte Black featuring Gray
B01N29JQD5,5.0,1,,FusionTech ABC 15 9560 FHD 1080P Intel Core i7-7700HQ 16GB RAM 512GB SSD Nvidia GTX 1050 4GB GDDR5 Windows 10 Home,"[15.6"" LED display; 1920 x 1080 NONTOUCH, 16 GB DDR4-2400MHZ, No Optical Drive, 512GB PCIe Solid State Drive, NVIDIA GeForce GTX 1050 4GB DDR5 Graphics, Windows 10 Home 64bit English]",Windows 10 Home,
